Number of Images,FID Score
500,118.31422424316406
1000,82.20147705078125
1500,66.77310943603516
2000,57.625606536865234
2500,52.27011489868164
3000,48.76570129394531
3500,45.94722366333008
4000,44.02431869506836
4500,42.30414581298828
5000,41.01754379272461
5500,39.8671989440918
6000,38.92826461791992
6500,38.230472564697266
7000,37.4742317199707
7500,36.73937225341797
8000,36.344322204589844
8500,36.051239013671875
9000,35.57576370239258
9500,35.157527923583984
10000,34.8842887878418
